codigo_glaciar,nombre,tipo_glaciar,area_km2,region,provincia,comuna,latitud,longitud,cuenca,macrozona,altitud_media_msnm,altitud_max_msnm,altitud_min_msnm,volumen_hielo_km3,volumen_agua_km3,pendiente_grados,orientacion,anio_inventario
CL104500067@,sin_nombre,GLACIAR DE MONTAÑA,0.330895981281,COQUIMBO,LIMARI,RIO HURTADO,-30.5154565380432,-70.2734502899739,RIO LIMARI,MACROZONA NORTE,4435.3496358,4783,4279,0.0063542780628,0.00540113635338,29.6927643593,S,2019
CL104500002@,sin_nombre,GLACIAR ROCOSO,0.101408724438,COQUIMBO,LIMARI,RIO HURTADO,-30.4291091115678,-70.4830753756711,RIO LIMARI,MACROZONA NORTE,3925.64224872,4102,3797,0.000766020371952,0.00070244068108,25.9776396402,S,2019
CL104500017@,sin_nombre,GLACIAR ROCOSO,0.0318303771621,COQUIMBO,LIMARI,RIO HURTADO,-30.4365360773555,-70.4420788246953,RIO LIMARI,MACROZONA NORTE,4021.44383562,4108,3981,0.000158983631234,0.000145787989842,24.5785696395,S,2019
CL104514006@,sin_nombre,GLACIAR ROCOSO,0.0448862522581,COQUIMBO,LIMARI,MONTE PATRIA,-30.7594836636207,-70.3571184803304,RIO LIMARI,MACROZONA NORTE,3828.55218216,3955,3757,0.000253462620535,0.000232425223031,25.6107755513,S,2019
CL104500153@,sin_nombre,GLACIAR ROCOSO,0.0516482920286,COQUIMBO,LIMARI,RIO HURTADO,-30.5040835071958,-70.2546194699697,RIO LIMARI,MACROZONA NORTE,4633.83779264,4770,4523,0.000306628878051,0.000281178681173,26.0581981833,NE,2019
CL104500154@,sin_nombre,GLACIAR ROCOSO,0.207216091198,COQUIMBO,LIMARI,RIO HURTADO,-30.5232331454938,-70.2900628459902,RIO LIMARI,MACROZONA NORTE,4558.59742418,4720,4409,0.00202014605115,0.0018524739289,27.3592090187,SE,2019
CL104500155@,sin_nombre,GLACIAR ROCOSO,0.0304351525441,COQUIMBO,LIMARI,RIO HURTADO,-30.5226595098856,-70.2833310347064,RIO LIMARI,MACROZONA NORTE,4400.58757062,4493,4328,0.000149601738553,0.000137184794253,36.2715665338,SE,2019
CL104500156@,sin_nombre,GLACIAR ROCOSO,0.0247942774805,COQUIMBO,LIMARI,RIO HURTADO,-30.5171632773741,-70.2776661092053,RIO LIMARI,MACROZONA NORTE,4414.77083333,4451,4368,0.000113274208916,0.000103872449576,22.5195992572,SE,2019
CL104510013@,sin_nombre,GLACIAR ROCOSO,0.065510846104,COQUIMBO,LIMARI,MONTE PATRIA,-30.9829349541592,-70.3390844804376,RIO LIMARI,MACROZONA NORTE,3684.64805195,3835,3597,0.000423382725611,0.000388241959385,28.9290220304,S,2019
CL104510026@,sin_nombre,GLACIAR ROCOSO,0.0527640104753,COQUIMBO,LIMARI,MONTE PATRIA,-31.0241934800008,-70.2820537575927,RIO LIMARI,MACROZONA NORTE,3819.9012945,3883,3771,0.000315651968547,0.000289452855158,16.9086888608,W,2019
CL104510027@,sin_nombre,GLACIAR ROCOSO,0.0193008008254,COQUIMBO,LIMARI,MONTE PATRIA,-31.0327889924049,-70.2821085433813,RIO LIMARI,MACROZONA NORTE,3764.24886878,3790,3739,8.06346735258e-05,7.39419956232e-05,27.1396703828,S,2019
CL104530007@,sin_nombre,GLACIAR ROCOSO,0.135996928783,COQUIMBO,LIMARI,COMBARBALA,-31.2919458847739,-70.7151579005034,RIO LIMARI,MACROZONA NORTE,3669.78077889,3785,3616,0.00114076214253,0.0010460788847,16.0487604531,NE,2019
CL104500054A,sin_nombre,GLACIARETE,0.0162105479132,COQUIMBO,LIMARI,RIO HURTADO,-30.4665908071046,-70.2950102746079,RIO LIMARI,MACROZONA NORTE,5060.90322581,5086,5046,0.000106057242441,9.01486560748e-05,18.7867350873,S,2019
CL104500057A,sin_nombre,GLACIARETE,0.0181067464501,COQUIMBO,LIMARI,RIO HURTADO,-30.4715447707679,-70.2900333492431,RIO LIMARI,MACROZONA NORTE,4901.72477064,4942,4840,0.000123235068322,0.000104749808074,23.471464903,S,2019
CL104500058@,sin_nombre,GLACIARETE,0.0275382584557,COQUIMBO,LIMARI,RIO HURTADO,-30.4739270455295,-70.2881593220903,RIO LIMARI,MACROZONA NORTE,4769.2,4843,4713,0.000217690086528,0.000185036573549,31.9829725599,SW,2019
CL104500060A,sin_nombre,GLACIARETE,0.0127692261083,COQUIMBO,LIMARI,RIO HURTADO,-30.4732669916752,-70.2791565259096,RIO LIMARI,MACROZONA NORTE,4862.06122449,4905,4819,7.67202821387e-05,6.52122398179e-05,22.283731373,S,2019
CL104500059@,sin_nombre,GLACIARETE,0.0379888083494,COQUIMBO,LIMARI,RIO HURTADO,-30.4765404262284,-70.2866888333865,RIO LIMARI,MACROZONA NORTE,4680.94117647,4750,4610,0.000336850817004,0.000286323194453,30.5173032295,SW,2019
CL104500084@,sin_nombre,GLACIARETE,0.00347855328575,COQUIMBO,LIMARI,RIO HURTADO,-30.4896482684143,-70.2447323987798,RIO LIMARI,MACROZONA NORTE,4645.35897436,4686,4608,1.31378059291e-05,1.11671350397e-05,37.1684193733,S,2019
CL104500085@,sin_nombre,GLACIARETE,0.00367463041348,COQUIMBO,LIMARI,RIO HURTADO,-30.4919067697609,-70.242295306923,RIO LIMARI,MACROZONA NORTE,4463.65116279,4474,4447,1.41527163858e-05,1.20298089279e-05,27.8352341985,S,2019
CL104500074@,sin_nombre,GLACIARETE,0.0206857059276,COQUIMBO,LIMARI,RIO HURTADO,-30.5014025148188,-70.2613123116111,RIO LIMARI,MACROZONA NORTE,4796.88607595,4844,4756,0.00014764186415,0.000125495584527,35.8326970998,SE,2019
CL104500055@,sin_nombre,GLACIARETE,0.00543001755507,COQUIMBO,LIMARI,RIO HURTADO,-30.4708536778547,-70.295875447212,RIO LIMARI,MACROZONA NORTE,4860.36507937,4896,4837,2.40419746045e-05,2.04356784138e-05,32.9129465799,SW,2019
CL104500068A,sin_nombre,GLACIARETE,0.0070663604302,COQUIMBO,LIMARI,RIO HURTADO,-30.506624807248,-70.2765099493722,RIO LIMARI,MACROZONA NORTE,5299.77777778,5367,5219,3.43719001048e-05,2.92161150891e-05,37.4951242282,S,2019
CL104500027@,sin_nombre,GLACIARETE,0.00715906672019,COQUIMBO,LIMARI,RIO HURTADO,-30.4591797398088,-70.4056820328099,RIO LIMARI,MACROZONA NORTE,4251.93975904,4272,4226,3.49852521429e-05,2.97374643215e-05,27.670814698,SE,2019
